Fitness,Distance,Time
0.2591899385507656,92.78235124467012,1.273261547088623
0.2626746939799904,113.72976536833562,2.2548258304595947
0.2634157768158685,119.18629362155326,3.4190621376037598
0.26804862522302864,152.7893276880822,4.757687330245972
0.2663488355418528,151.0,6.287831783294678
0.2669096677759676,162.55494421403512,7.989665985107422
0.502123525991469,178.2794404323299,9.894335746765137
0.5022667094184079,187.3866948041088,11.987707138061523
0.5023516625962633,184.6627343801676,14.257327556610107
0.5023677831630599,193.09372712298546,16.732780694961548
0.5024134624498378,192.34262462922368,19.41109323501587
0.5027311877461403,207.45580640902304,22.265849590301514
0.5031683948532032,229.47319317591726,25.36230969429016
0.5031914259526811,227.17692189964916,28.67898154258728
0.5032298720689607,245.31127685802798,32.167484760284424
0.5032298720689607,245.31127685802798,35.847318172454834
0.5035363172845012,262.9465594353169,39.78615355491638
0.5035146824869277,233.99785406737118,43.92531061172485
0.5041804273900595,272.6615541441225,48.28153920173645
0.5048594923519428,301.2399040767233,52.852071046829224
0.5047530869019904,302.4962686336267,57.6788125038147
0.5054819558058757,325.2221460665511,62.707868814468384
0.5067181150384834,375.3634597553559,67.95885181427002
0.5080363763041468,391.7377637239585,73.38125228881836
0.5131314285305868,433.0,79.0836820602417
0.5126746939799904,433.0416646574726,85.17777705192566
0.512588958901725,427.0422514258416,91.48765778541565
0.5182681383339721,463.03895939628296,97.88499546051025
0.7570807295501024,481.1499765698214,104.49684619903564
0.7573943389509074,487.1481255749116,111.34668493270874
0.7584675260262881,506.2840785142552,118.622962474823
0.7598581378245185,524.6869293767031,126.01881098747253
